urlname;parentname;baseref;result;warningstring;infostring;valid;url;line;column;name;dltime;size;checktime;cached;level;modified
/;http://ecology-sandra.codio.io:3000/radiation/ram/compliance-tips.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/violation-notice.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/compliance-trends.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/environmental-monitoring.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/ram/increased-controls.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/ram/faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/certification.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/accreditation.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/interventional-radiography.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/inspections.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/lasers/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;456;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/interventional-radiography-faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/lasers/registration.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;456;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/reciprocity.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/individual-registration.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/facility-registration.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/training-program-registration.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/certifying-entity-approval.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/publications.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/training-courses.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/certifying-entity-list.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/faq.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;3;
/;http://ecology-sandra.codio.io:3000/radiation/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/ram/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/lasers/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;456;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/forms.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/x-ray/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/industrial-radiographers/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;465;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/ram/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;484;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/mammography/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;475;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/lasers/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;456;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/laser-hair-removal/laws-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;482;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/draft-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/proposed-rules.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/radon.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
/;http://ecology-sandra.codio.io:3000/radiation/ct.aspx;;403 Forbidden;;;False;http://ecology-sandra.codio.io:3000/;530;4;Home;-1;209;2.42353606224;0;2;
